CONTRACT_ID|PLAN_ID|SEGMENT_ID|PHARMACY_NUMBER|PHARMACY_ZIPCODE|PREFERRED_STATUS_RETAIL|PREFERRED_STATUS_MAIL|PHARMACY_RETAIL|PHARMACY_MAIL|IN_AREA_FLAG|BRAND_DISPENSING_FEE_30|BRAND_DISPENSING_FEE_60|BRAND_DISPENSING_FEE_90|GENERIC_DISPENSING_FEE_30|GENERIC_DISPENSING_FEE_60|GENERIC_DISPENSING_FEE_90
H0022|001|000|101003001934|11232|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003002254|37615|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003004904|08857|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003004938|04240|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003007386|17201|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003010208|34219|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003015371|XXXXX|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003024357|08242|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003030636|78572|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003033101|70757|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003034844|93023|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003036385|06239|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003037219|34787|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003038324|38801|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003041674|62557|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003047846|98312|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003048109|19111|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003048505|98908|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003051129|29732|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003051145|93274|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003051582|33712|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003055203|33180|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003057811|25701|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003057878|60452|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003058371|63044|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003060047|38930|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003060195|33701|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003060609|30024|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003061011|55072|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003061664|98926|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003062340|90027|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003063355|77301|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003063520|33880|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003064106|77027|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003065665|36066|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003067471|64086|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003069832|28518|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003072323|15221|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003082553|17201|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003083569|XXXXX|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003084021|67203|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003086380|32226|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003086455|18017|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003089657|30566|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003092438|89113|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003093162|97301|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003094798|18929|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003096025|31513|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003096322|37421|N|N|Y|N|0|0.5|0|0|0.5|0|0
H0022|001|000|101003096496|60042|N|N|Y|N|0|0.5|0|0|0.5|0|0
