CONTRACT_ID|PLAN_ID|SEGMENT_ID|CONTRACT_NAME|PLAN_NAME|FORMULARY_ID|PREMIUM|DEDUCTIBLE|ICL|MA_REGION_CODE|PDP_REGION_CODE|STATE|COUNTY_CODE|SNP|PLAN_SUPPRESSED_YN
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36110|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36170|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36260|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36280|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36290|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36440|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36480|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36490|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36530|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36580|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36630|0|N
H0022|001|000|BUCKEYE COMMUNITY HEALTH PLAN, INC.|Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)|00022395|0.00|0|.| | |OH|36880|0|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28120|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28210|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28260|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28270|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28330|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28470|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28540|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28650|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28750|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28760|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28770|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28790|2|N
H0028|007|000|CHA HMO, INC.|Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)|00022520|0.00|400|4430| | |NE|28880|2|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17070|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17200|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17390|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17560|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17770|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17860|0|N
H0028|013|000|CHA HMO, INC.|Humana Gold Plus H0028-013 (HMO)|00022520|0.00|0|4430| | |KS|17950|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14020|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14060|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14130|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14500|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14670|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14680|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |IL|14900|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26270|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26350|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26460|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26490|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26560|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26601|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26910|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26930|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26940|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26950|0|N
H0028|014|000|CHA HMO, INC.|Humana Gold Plus H0028-014 (HMO)|00022520|0.00|0|4430| | |MO|26991|0|N
