CONTRACT_ID|PLAN_ID|SEGMENT_ID|NDC|DAYS_SUPPLY|UNIT_COST
H0022|001|000|00002143380|30|410.6815
H0022|001|000|00002143380|60|402.7589
H0022|001|000|00002143380|90|402.7589
H0022|001|000|00002143480|30|410.6825
H0022|001|000|00002143480|60|402.7589
H0022|001|000|00002143480|90|402.7589
H0022|001|000|00002143611|30|610.4644
H0022|001|000|00002143611|60|598.7304
H0022|001|000|00002143611|90|598.7304
H0022|001|000|00002144511|30|5810.7014
H0022|001|000|00002144511|60|5699.5776
H0022|001|000|00002144511|90|5699.5776
H0022|001|000|00002223680|30|410.7007
H0022|001|000|00002223680|60|402.7589
H0022|001|000|00002223680|90|402.7589
H0022|001|000|00002237711|30|610.479
H0022|001|000|00002237711|60|598.7304
H0022|001|000|00002237711|90|598.7304
H0022|001|000|00002298026|30|166.963
H0022|001|000|00002298026|60|163.77
H0022|001|000|00002298026|90|163.77
H0022|001|000|00002311509|30|508.6698
H0022|001|000|00002311509|60|498.942
H0022|001|000|00002311509|90|498.942
H0022|001|000|00002318280|30|410.6114
H0022|001|000|00002318280|60|402.7589
H0022|001|000|00002318280|90|402.7589
H0022|001|000|00002397760|30|111.3085
H0022|001|000|00002397760|60|109.1798
H0022|001|000|00002397760|90|109.1798
H0022|001|000|00002448354|30|226.7906
H0022|001|000|00002448354|60|222.4534
H0022|001|000|00002448354|90|222.4534
H0022|001|000|00002481554|30|226.7906
H0022|001|000|00002481554|60|222.4534
H0022|001|000|00002481554|90|222.4534
H0022|001|000|00002533754|30|226.7906
H0022|001|000|00002533754|60|222.4534
H0022|001|000|00002533754|90|222.4534
H0022|001|000|00002621654|30|226.7906
H0022|001|000|00002621654|60|222.4534
H0022|001|000|00002621654|90|222.4534
H0022|001|000|00002763511|30|618.9495
H0022|001|000|00002763511|60|613.5987
H0022|001|000|00002763511|90|613.5987
H0022|001|000|00002771559|30|21.1646
H0022|001|000|00002771559|60|20.7563
H0022|001|000|00002771559|90|20.7563
H0022|001|000|00002772411|30|5810.7014
H0022|001|000|00002772411|60|5699.5776
